[2017-11-16 17:26:00,923](INFO)captHttpData : "2017-11-16 17:26:00"	"192.168.1.138"	"58.211.85.38"	"58762"	"80"	"GET"	"http://58.211.85.38/gchatpic_new/0AD1179DDB4B5256E17D635D7BD9FBA17AFC2B820A8C16A2ADC2775834A17B83DCD93665FD0C82240A22A97E9F7D78B83D1FC7088AFC37B18DF15344D8358235DEBCD2741B274B23027C81E0583C14CB3D402B4C3C1F47D5/0?vuin=279119820&term=1&srvver=26750&rf=aio"	"Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"
[2017-11-16 17:26:27,759](INFO)captHttpData : "2017-11-16 17:26:27"	"192.168.1.174"	"112.74.114.37"	"44559"	"8070"	"POST"	"http://112.74.114.37:8070/pms/authservlet.do"	"Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0"
[2017-11-16 17:26:29,479](INFO)captHttpData : "2017-11-16 17:26:29"	"192.168.1.174"	"112.74.114.37"	"44559"	"8070"	"GET"	"http://112.74.114.37:8070/pms/css/style.css"	"Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0"
[2017-11-16 17:26:29,528](INFO)captHttpData : "2017-11-16 17:26:29"	"192.168.1.174"	"112.74.114.37"	"44562"	"8070"	"GET"	"http://112.74.114.37:8070/pms/adminmgrservlet.do?action=redirect&url=common/top.jsp"	"Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0"
[2017-11-16 17:26:29,558](INFO)captHttpData : "2017-11-16 17:26:29"	"192.168.1.174"	"112.74.114.37"	"44560"	"8070"	"GET"	"http://112.74.114.37:8070/pms/adminmgrservlet.do?action=redirect&url=common/menu.jsp"	"Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0"
[2017-11-16 17:26:29,558](INFO)captHttpData : "2017-11-16 17:26:29"	"192.168.1.174"	"112.74.114.37"	"44561"	"8070"	"GET"	"http://112.74.114.37:8070/pms/adminmgrservlet.do?action=redirect&url=common/welcome.jsp"	"Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0"
[2017-11-16 17:26:29,887](INFO)captHttpData : "2017-11-16 17:26:29"	"192.168.1.174"	"112.74.114.37"	"44560"	"8070"	"GET"	"http://112.74.114.37:8070/pms/js/menu.js"	"Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0"
[2017-11-16 17:26:29,900](INFO)captHttpData : "2017-11-16 17:26:29"	"192.168.1.174"	"112.74.114.37"	"44559"	"8070"	"GET"	"http://112.74.114.37:8070/pms/js/jquery-1.9.1.min.js"	"Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0"
[2017-11-16 17:26:29,901](INFO)captHttpData : "2017-11-16 17:26:29"	"192.168.1.174"	"112.74.114.37"	"44561"	"8070"	"GET"	"http://112.74.114.37:8070/pms/js/common.js"	"Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0"
[2017-11-16 17:26:29,947](INFO)captHttpData : "2017-11-16 17:26:29"	"192.168.1.174"	"112.74.114.37"	"44562"	"8070"	"GET"	"http://112.74.114.37:8070/pms/images/left_02.jpg"	"Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0"
[2017-11-16 17:26:29,947](INFO)captHttpData : "2017-11-16 17:26:29"	"192.168.1.174"	"112.74.114.37"	"44563"	"8070"	"GET"	"http://112.74.114.37:8070/pms/images/left_03.jpg"	"Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0"
[2017-11-16 17:26:31,164](INFO)captHttpData : "2017-11-16 17:26:31"	"192.168.1.174"	"112.74.114.37"	"44559"	"8070"	"GET"	"http://112.74.114.37:8070/pms/images/left_01.jpg"	"Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0"
[2017-11-16 17:26:35,446](INFO)captHttpData : "2017-11-16 17:26:35"	"192.168.1.174"	"112.74.114.37"	"44559"	"8070"	"GET"	"http://112.74.114.37:8070/pms/projectmgrservlet.do?action=listPreProject"	"Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0"
[2017-11-16 17:26:35,540](INFO)captHttpData : "2017-11-16 17:26:35"	"192.168.1.174"	"112.74.114.37"	"44561"	"8070"	"GET"	"http://112.74.114.37:8070/pms/js/datePicker/WdatePicker.js"	"Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0"
[2017-11-16 17:26:35,583](INFO)captHttpData : "2017-11-16 17:26:35"	"192.168.1.174"	"112.74.114.37"	"44559"	"8070"	"GET"	"http://112.74.114.37:8070/pms/images/decompose.gif"	"Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0"
[2017-11-16 17:26:35,588](INFO)captHttpData : "2017-11-16 17:26:35"	"192.168.1.174"	"112.74.114.37"	"44561"	"8070"	"GET"	"http://112.74.114.37:8070/pms/js/datePicker/skin/WdatePicker.css"	"Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0"
[2017-11-16 17:26:36,300](INFO)captHttpData : "2017-11-16 17:26:36"	"192.168.1.174"	"112.74.114.37"	"44559"	"8070"	"GET"	"http://112.74.114.37:8070/pms/js/datePicker/skin/datePicker.gif"	"Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0"
[2017-11-16 17:27:50,195](INFO)captHttpData : "2017-11-16 17:27:50"	"192.168.1.174"	"112.74.114.37"	"44566"	"8070"	"GET"	"http://112.74.114.37:8070/pms/reportservlet.do?action=searchReport"	"Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0"
[2017-11-16 17:28:02,734](INFO)captHttpData : "2017-11-16 17:28:02"	"192.168.1.174"	"112.74.114.37"	"44566"	"8070"	"GET"	"http://112.74.114.37:8070/pms/expenseservlet.do?action=listMyExpense"	"Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0"
[2017-11-16 17:28:02,887](INFO)captHttpData : "2017-11-16 17:28:02"	"192.168.1.174"	"112.74.114.37"	"44566"	"8070"	"GET"	"http://112.74.114.37:8070/pms/images/detail.gif"	"Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0"
[2017-11-16 17:28:02,888](INFO)captHttpData : "2017-11-16 17:28:02"	"192.168.1.174"	"112.74.114.37"	"44570"	"8070"	"GET"	"http://112.74.114.37:8070/pms/images/check.gif"	"Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0"
[2017-11-16 17:28:04,271](INFO)captHttpData : "2017-11-16 17:28:04"	"192.168.1.174"	"112.74.114.37"	"44566"	"8070"	"GET"	"http://112.74.114.37:8070/pms/expenseservlet.do?action=listExpenseForCheck"	"Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0"
[2017-11-16 17:28:04,347](INFO)captHttpData : "2017-11-16 17:28:04"	"192.168.1.174"	"112.74.114.37"	"44566"	"8070"	"GET"	"http://112.74.114.37:8070/pms/images/right_06.jpg"	"Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0"
